ISO,Country,users,fixed-line/100,mobile/100,upload,download,ping,"mobile upload","mobile download","mobile ping","internet capacity","2g coverage/pop","3g coverage/pop","4g coverage/pop","urban electricity acces % pop","rural electricity acces % pop","literacy %","years schooling","privacy regulations 0-2","Nominal GDP",population,"total electricity access","internet access schools",GPI,"Democracy Index","Corruption Perception Index","internet users","offline population"
DZ,Algeria,"31,88088178","5,566852484",113.0310943,692,2198,68,518,1070,193,"30119,21818","99,19",46,1,100,"96,7",79.6084,"7,6",0,"164,78","39,963",99,53,"2,213","3,95",36,"7,937913","32,438041"
AO,Angola,"10,2","0,674502625",60.84389581,4528,6919,69,"1545,135934","4507,190992","146,4156467","6518,426046",95,60,"14,09643986","45,9","18,2",71.16416,"4,7",2,"102,643","25,022",30,31.06868455,"2,14","3,35",15,"5,951453","19,879505"
AR,Argentina,"55,52","16,08116197",130,1556,5717,59,4687,8303,94,"46144,54062",98,90,65,"99,2","66,2",98.08997,"9,8",2,"632,77","43,13","96,4",36,"1,957","7,02",32,"30,359855","13,487422"
AU,Australia,"85,88579172","27,85174046",130,4142,18752,42,11884,27548,43,"81564,05875",99,99,75,100,100,100,13,2,"1225,5","23,969",100,97,"1,465","9,01",79,"20,67949","3,62984"
BD,Bangladesh,11,"2,410344053",83.36099297,10043,8289,40,1288,3949,148,"6181,464175","99,4",71,65,"90,2","47,5",61.49383,"5,1",0,"195,0786",161,"61,5",21.65678068,"2,045","5,73",25,"21,43907","141,471794"
BR,Brazil,"54,5","12,23707523",126.5922645,3920,11237,52,3128,7759,105,"43633,78273","92,11","93,53","56,72",100,"97,3",92.58681,"7,7",0,"1772,3","204,451","99,6",76.24709488,"2,176","6,96",38,"139,111185","70,456735"
BF,"Burkina Faso","12,47627033","0,040246447",80.64303328,"5141,826426","8184,229501","118,6136641","1652,275627","4447,436855","139,3467152","2861,688805",62,"55,15708817",0,"56,1","1,4",37.7467,"1,4",2,"11,22","18,11","16,9",1,"2,063","4,7",38,"1,894498","16,739227"
KH,Cambodia,21,"0,532650926",130,10291,7560,23,4727,8040,63,"17792,34096",99,70,30,97,"18,2",78.34594,"4,4",0,"18,05","15,578","34,3",6.563461887,"2,161","4,27",21,"1,756824","14,070417"
CM,Cameroon,"8,58","0,068396152",71.84542948,1242,2218,196,"1569,7","4635,6","152,9","992,2001452",92,50,"24,4","87,5",17,74.98558,6,0,"29,1983","23,344","54,5",6.740535549,"2,356","3,66",27,"4,311178","19,613229"
CA,Canada,"86,6","36,4079534",81.93058776,8346,25888,36,9004,24210,51,"135495,7016",99,99,96,100,100,100,13,2,"1550,9","35,94",100,97,"1,388","9,08",83,"32,120519","4,165859"
CL,Chile,"59,7","15,17200175",129.4703901,4312,21397,34,4562,9323,86,"129825,0461",96,90,76,"99,81456751","97,8",96.62755,"9,8",2,"239,04","17,948","99,6",78,"1,635","7,84",70,"14,108392","4,023458"
CN,China,"54,17","18,56075096",93.16142089,10433,32237,21,12144,21983,56,"6530,378214","99,5","57,4","28,2",100,"99,8",96.35745,"7,5",2,11181,1361,"99,9",72.28352678,"2,288","3,14",37,"721,434547","660,888785"
CO,Colombia,"41,79961035","11,15606573",115.7447743,1936,5294,46,5725,9515,121,"105049,7137",100,100,81,"99,8","90,3",94.57706,"7,3",2,"292,09","48,23","97,5",70.65106072,"2,764","6,62",37,"27,664747","20,989645"
CD,"Congo (DRC)","2,4","0,001403581",52.98907151,"4677,836777","7446,928152","151,6631276","1179,3","3770,7","220,3","369,3633574",50,20,1,"18,9",2,77.22167,6,1,"35,238","77,27",9,29.04091739,"3,112","2,11",22,"3,10121","76,621414"
CI,"Côte d'Ivoire","17,22","0,515170401",119.3109704,955,3828,107,1520,"4715,1","154,1","5193,861791","97,94",71,33,"42,4","7,9",43.26532,"4,3",2,"31,915","21,29","26,1",21.6271343,"2,279","3,31",32,"5,122897","18,131287"
EG,Egypt,"41,84","4,517300321",110.9915544,714,2379,72,1540,4432,77,"11317,76737","99,8","97,8","34,27522686",100,"99,3",75.84262,"6,5",0,"315,01","91,51","99,6",49.91826,"2,574","3,18",36,"30,835256","62,548318"
SV,"El Salvador",15,"5,493322287",130,1737,3122,66,1386,5205,101,"61958,99353","87,7","73,41","20,04793098","97,8","85,5",87.64822,"6,5",1,"25,85","6,142","93,6",44.85637123,"2,237","6,64",39,"2,352849","3,79357"
ET,Ethiopia,"9,8","0,657546168",42.76402881,9813,6946,90,"1495,770725","4681,346833","150,7367243","1959,174342",95,71,10,"85,2","10,4",49.03152,"2,4",1,"57,386","99,39","24,3",2,"2,284","3,83",33,"4,288023","97,565245"
FR,France,"82,6207","41,34472681",102.6131585,11321,25606,43,6786,19507,61,"129972,7123",99,99,80,100,100,100,"11,1",2,"2420,2","64,395",100,90.51227695,"1,829","7,92",70,"55,86033","8,807799"
DE,Germany,"90,2891","37,19265341",116.7122833,6954,31417,35,5915,17297,69,"117539,8589",99,"95,7","95,7",100,100,100,"13,1",2,"3362,3","81,9",100,95.49489464,"1,486","8,64",81,"71,016605","9,665746"
GH,Ghana,"34,14915492","0,278280045",129.7359971,5772,5939,93,1933,5134,135,"2841,171332",75,75,23,"92,2","49,5",76.5759,7,2,"37,703","27,41",72,49.3461184,"1,809","6,86",47,"7,958675","20,0747"
GT,Guatemala,"17,37750613","2,828940885",111.4812993,2312,6478,39,4997,9627,71,"24676,45411",100,92,1,"97,4","81,4",79.07421,"5,6",2,"63,7942","16,34","89,5",0,"2,27","5,92",28,"4,409997","12,262959"
IN,India,20,"1,335006976",78.84136348,5983,6595,56,2213,5633,141,"5724,694183","93,46",75,49,96,74,72.2253,"5,4",2,2072,"1311,049",81,37.96893287,"2,566","7,74",38,"462,124989","864,676587"
ID,Indonesia,"38,40109703","1,089129574",130,3619,7362,38,4170,8475,72,"6584,246641",95,60,5,"94,2","65,6",95.43768,"7,6",2,"861,79","255,759","80,5",51.93112281,"1,799","7,03",36,"53,236719","207,344381"
IR,Iran,"52,18","10,86343996",93.38482985,2737,4872,48,3146,5236,132,"8502,162012","94,2","59,81","14,06",100,"94,8",87.17253,"8,2",2,"416,663","79,11","98,6",89.07188353,"2,411","2,16",27,"39,149103","40,894043"
IT,Italy,"75,3897","23,79615716",130,2740,10777,61,11588,25601,42,"77322,28905",100,99,91,100,100,99.01579,"10,1",2,"1814,8","59,8",100,85.3198738,"1,774","7,98",44,"39,211518","20,589486"
JP,Japan,"96,5","30,48662982",125.0537607,57969,67385,30,12839,29397,69,"62618,15043","99,9","99,9",99,100,100,100,"11,5",2,"4125,4","126,575",100,98.74923734,"1,395","7,96",75,"115,111595","11,21212"
KZ,Kazakhstan,"82,21801903","13,04914532",130,15756,15721,45,6849,6234,89,"69615,22562","96,1","72,7","65,5",100,100,99.78785,"11,4",2,"174,05","17,625",100,97,"2,019","3,06",28,"9,961519","7,893865"
KE,Kenya,"19,6","0,280472468",80.67820274,4684,6327,80,3981,9014,98,"40067,03701",92,69,"20,25113074",60,"7,1",78.0234,"6,3",2,"63,3981","46,05","20,2",40.61918596,"2,379","5,33",25,"21,248977","26,002472"
LR,Liberia,"2,728219779","0,155436767",81.09358204,"5186,844956","7801,018034","132,9013596","1399,109448","3826,087446","152,9091301","7522,273184",60,50,"10,12206736","16,9",3,47.60014,"4,1",0,"2,053","4,503","9,8",0,"1,998","4,95",37,"0,395063","4,220159"
MG,Madagascar,"5,79","0,066019156",46.01535193,11212,13728,51,"1402,9386","4367,597207","155,9382534","12420,19355","92,16","49,99253165","10,45194444","36,9","3,7",64.6563,6,2,"9,7371","24,24",15,2.98013245,"1,763","4,85",28,"1,066397","23,849425"
MW,Malawi,"9,1","0,003223815",35.33642215,"4912,292556","7643,456051","72,29866653","853,4","3936,3","293,2","2428,818857",95,32,6,"32,4","4,2",65.96383,"4,3",1,"6,4019","17,215","8,7",27.74382194,"1,817","5,55",31,"1,160839","16,588987"
MY,Malaysia,"70,05542788","8,950194929",130,5616,10223,45,4351,8140,93,"34119,36178",96,92,71,"99,8","98,7",94.63699,10,2,"296,2845","30,331","99,5",96.4028777,"1,648","6,43",50,"21,090777","9,660825"
MV,Maldives,"49,62","6,473807269",130,4496,6591,33,5703,10129,106,"88008,29004",100,100,58,100,100,99.32102,"5,8",0,"3,142812004","0,409163",100,100,"2,03465","5,906",0,"0,198071","0,171741"
ML,Mali,"8,24822377","0,021520935",130,"4477,499723","6837,425197","234,0204163","1084,5","4445,5","188,5","1279,276129",89,19,0,"52,7","8,7",33.06887,2,2,"13,107","16,259","25,6",10.67987762,"2,489","5,7",35,"2,21245","15,922385"
