ISO,Country,users,fixed-line/100,mobile/100,upload,download,ping,mobile upload,mobile download,mobile ping,internet capacity,2g coverage/pop,3g coverage/pop,4g coverage/pop,"1.3.4) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.5) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.6) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-2, 2=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of local language keyboard on devices / Qualitative rating 0-1, 1=best","3.1.4) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best","3.2.2) e-Health content / Qualitative rating 0-3, 3=best",3.2.3) e-Entertainment (growth) content / % growth,3.2.4) e-Entertainment (views) content / YouTube views per capita,"3.2.5) e-Commerce content / Score of 0-100, 100=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best","4.2.2) Availability of CERTS / Qualitative rating 0-1, 1=best",4.2.3) Female access to a mobile phone / % of households,4.2.4) Female access to the Internet / % of households,"4.3.1) Existence of national broadband strategy / Qualitative rating 0-2, 2=best","4.3.2) Existence of government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) Existence of national digital identification system / Qualitative rating 0-3, 3=best","4.3.4) Existence of Universal Service Fund / Qualitative rating 0-1, 1=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urbanization rate / % of population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions
DZ,Algeria,31.88088178,5.566852484,113.0310943,692,2198,68,518,1070,193,30119.21818,99.19,46,1,1,0,0,100,96.7,92.87,0.489429066,2.293462666,3.807758133,97.7594,3355.78,9704.5,1,0,1,1,1,1,341.3337979,67.49998088,32.3,79.6084,7.6,1,0,0,1,97,25.8,0,0,1,1,164.78,39.963,70.9,4870,35.33,5.5,99,1.501388785,53,2.213,3.95,36,4.7,0.29991,7.937913,32.438041
AO,Angola,10.2,0.674502625,60.84389581,4528,6919,69,1545.135934,4507.190992,146.4156467,6518.426046,95,60,14.09643986,2,0,0.799296619,45.9,18.2,93.05,2.152021454,2.628361638,11.70699671,196.8,6971.92,5020.931931,2,0,1,1,2,2,0,0,21.1,71.16416,4.7,2,2,2,0,58,11,1,1,1,0,102.643,25.022,44.05,4180,42.72,9.64,30,4.795779714,31.06868455,2.14,3.35,15,4.980472115,0.33114,5.951453,19.879505
AR,Argentina,55.52,16.08116197,130,1556,5717,59,4687,8303,94,46144.54062,98,90,65,2,2,0.231857176,99.2,66.2,96.41,0.239905098,1.669739451,3.963649453,118.254,3254.65,2534.7,2,2,1,2,2,3,99.86931146,781.66198,51.9,98.08997,9.8,3,2,2,1,87,61,2,2,2,1,632.77,43.13,91.8,12460,42.67,0.97,96.4,1.623000232,36,1.957,7.02,32,5.4,0.6978,30.359855,13.487422
AU,Australia,85.88579172,27.85174046,130,4142,18752,42,11884,27548,43,81564.05875,99,99,75,2,2,6.675288915,100,100,99.79,0.30015536,0.090066248,0.749638023,478.2064,4022.91,2788.66,2,2,1,2,2,3,82.28816281,1582.877813,81.4,100,13,3,2,2,1,93,90,2,1,0,1,1225.5,23.969,89.4,60070,34.94,0,100,10.84734449,97,1.465,9.01,79,8.1,0.91428,20.67949,3.62984
BD,Bangladesh,11,2.410344053,83.36099297,10043,8289,40,1288,3949,148,6181.464175,99.4,71,65,2,1,0.062111801,90.2,47.5,58.7,2.826746296,1.478686791,4.463283626,22.9024,2970.25,3351.34,2,1,1,1,1,2,0,0,16.7,61.49383,5.1,3,1,0,1,92,12,2,2,2,0,195.0786,161,34.277,1190,32.13,3.31,61.5,0.124223602,21.65678068,2.045,5.73,25,3.540495192,0.37995,21.43907,141.471794
BR,Brazil,54.5,12.23707523,126.5922645,3920,11237,52,3128,7759,105,43633.78273,92.11,93.53,56.72,2,2,1.173875403,100,97.3,96.17,0.910714516,5.125760181,1.089931401,95.7248,2456.76,2452.66,2,3,1,2,2,3,119.7091067,450.6848133,56.2,92.58681,7.7,3,2,0,1,92,53,1,2,2,1,1772.3,204.451,85.7,9850,51.48,1.72,99.6,1.956459005,76.24709488,2.176,6.96,38,6.2,0.63769,139.111185,70.456735
BF,Burkina Faso,12.47627033,0.040246447,80.64303328,5141.826426,8184.229501,118.6136641,1652.275627,4447.436855,139.3467152,2861.688805,62,55.15708817,0,0,0,0.552181115,56.1,1.4,36.56,15.37055822,5.516160973,67.63045618,64.8,3755.62,8663.68,2,1,1,0,2,2,0,0,14.9,37.7467,1.4,3,2,2,1,65,2,1,1,0,1,11.22,18.11,29.859,660,35.3,11.07,16.9,0,1,2.063,4.7,38,5.2427944,0.15977,1.894498,16.739227
KH,Cambodia,21,0.532650926,130,10291,7560,23,4727,8040,63,17792.34096,99,70,30,0,1,1.283861856,97,18.2,64.01,1.121495327,2.242990654,13.45794393,27.6,3575.58,4318.38,2,2,0,1,2,0,0,0,19.5,78.34594,4.4,2,0,0,1,88,19,2,1,2,0,18.05,15.578,20.723,1070,30.76,0.28,34.3,1.925792785,6.563461887,2.161,4.27,21,5.760083616,0.25927,1.756824,14.070417
CM,Cameroon,8.58,0.068396152,71.84542948,1242,2218,196,1569.7,4635.6,152.9,992.2001452,92,50,24.4,0,0,0.4283756,87.5,17,68.08,2.288248517,3.665454887,45.61242045,48,3899.07,3935.34,2,1,1,1,1,2,0,0,20,74.98558,6,2,0,0,0,70,11,0,0,2,1,29.1983,23.344,54.381,1330,46.54,7.65,54.5,2.141877999,6.740535549,2.356,3.66,27,5.009298077,0.27591,4.311178,19.613229
CA,Canada,86.6,36.4079534,81.93058776,8346,25888,36,9004,24210,51,135495.7016,99,99,96,2,2,3.06065665,100,100,98.61,0.567834403,1.548681901,1.248712277,653.2078,2740.39,1508.38,2,1,1,2,2,3,86.78929066,2354.966372,86.3,100,13,2,2,2,1,83,90,0,1,0,1,1550.9,35.94,81.8,47500,33.68,0,100,1.391207568,97,1.388,9.08,83,8.2,0.82847,32.120519,4.165859
CL,Chile,59.7,15.17200175,129.4703901,4312,21397,34,4562,9323,86,129825.0461,96,90,76,2,0,0.557165144,99.81456751,97.8,97.54,0.520605415,1.345289319,2.216813535,173.4395,3160.86,2945.32,2,2,1,2,2,3,55.90420011,1057.815939,60.3,96.62755,9.8,3,3,2,1,94,51,2,2,3,1,239.04,17.948,89.6,14060,50.45,0.45,99.6,5.014486294,78,1.635,7.84,70,7.7,0.69492,14.108392,4.023458
CN,China,54.17,18.56075096,93.16142089,10433,32237,21,12144,21983,56,6530.378214,99.5,57.4,28.2,2,0,0.044085231,100,99.8,95.04,0.739235477,0.749402664,2.95694191,108.9229,4774.45,3093.9,2,3,1,2,2,2,0,0,49.1,96.35745,7.5,3,1,2,1,97,57,2,2,2,0,11181,1361,55.4,7820,42.16,0.35,99.9,0.161645849,72.28352678,2.288,3.14,37,6,0.60713,721.434547,660.888785
CO,Colombia,41.79961035,11.15606573,115.7447743,1936,5294,46,5725,9515,121,105049.7137,100,100,81,2,2,0.41467966,99.8,90.3,95.25,2.516674182,1.925354196,2.271144994,122.956,3737.49,2383.14,1,0,1,1,2,3,111.6058336,495.5706467,44.6,94.57706,7.3,3,1,2,1,93,56,2,2,2,1,292.09,48.23,76.5,7130,53.5,2.31,97.5,2.69541779,70.65106072,2.764,6.62,37,5.9,0.62371,27.664747,20.989645
CD,Congo (DRC),2.4,0.001403581,52.98907151,4677.836777,7446.928152,151.6631276,1179.3,3770.7,220.3,369.3633574,50,20,1,0,0,0.129416332,18.9,2,0,43.90243902,43.13250716,1164.119005,60,2158.03,5669.78,2,1,1,1,2,2,0,0,16.8078429,77.22167,6,1,0,1,0,53,7,0,0,2,1,35.238,77.27,42.494,410,42.1,39.17,9,0.258832665,29.04091739,3.112,2.11,22,3.910658654,0.18761,3.10121,76.621414
CI,Côte d'Ivoire,17.22,0.515170401,119.3109704,955,3828,107,1520,4715.1,154.1,5193.861791,97.94,71,33,2,1,0.469704086,42.4,7.9,70.61,8.489780669,8.606775986,29.64228505,69.6,3698.66,4770.62,2,1,1,1,1,1,0,0,15.4,43.26532,4.3,0,0,2,1,88,3,0,0,2,1,31.915,21.29,54.18,1410,43.18,10.3,26.1,1.409112259,21.6271343,2.279,3.31,32,5.350322115,0.21845,5.122897,18.131287
EG,Egypt,41.84,4.517300321,110.9915544,714,2379,72,1540,4432,77,11317.76737,99.8,97.8,34.27522686,1,2,0.218555349,100,99.3,87.66,1.074398063,2.538015238,2.335647963,47.8275,3483.06,5953.38,2,0,1,2,2,1,100.4382735,182.0778781,39.9,75.84262,6.5,1,3,0,1,92,18,2,2,2,1,315.01,91.51,43.1,3340,30.75,2,99.6,2.62266419,49.91826,2.574,3.18,36,5.2,0.45941,30.835256,62.548318
SV,El Salvador,15,5.493322287,130,1737,3122,66,1386,5205,101,61958.99353,87.7,73.41,20.04793098,2,2,0,97.8,85.5,90.65,4.568527919,4.568527919,5.503553299,116.4,2689.9,4513.44,2,1,1,1,2,3,0,0,31.7,87.64822,6.5,2,0,1,1,82,31,0,0,2,1,25.85,6.142,66.726,3940,41.84,0.64,93.6,0,44.85637123,2.237,6.64,39,5.897129808,0.47184,2.352849,3.79357
ET,Ethiopia,9.8,0.657546168,42.76402881,9813,6946,90,1495.770725,4681.346833,150.7367243,1959.174342,95,71,10,0,0,0,85.2,10.4,29.82,19.62283935,1.563414706,24.52854919,22.3998,10000,10000,2,0,1,1,1,2,0,0,21.2,49.03152,2.4,2,2,1,1,48,2,0,0,0,0,57.386,99.39,19.472,590,33.17,9.04,24.3,0,2,2.284,3.83,33,4.282826923,0.26655,4.288023,97.565245
FR,France,82.6207,41.34472681,102.6131585,11321,25606,43,6786,19507,61,129972.7123,99,99,80,2,2,2.018790279,100,100,99.42,0.163982274,0.587894617,0.68872555,371.5411,2707.46,2786.8,2,3,1,2,2,3,48.44836417,775.2466507,76.2,100,11.1,3,2,2,1,90,88,2,2,1,1,2420.2,64.395,79.5,40580,33.1,0,100,3.726997438,90.51227695,1.829,7.92,70,7.8,0.84559,55.86033,8.807799
DE,Germany,90.2891,37.19265341,116.7122833,6954,31417,35,5915,17297,69,117539.8589,99,95.7,95.7,2,2,2.197802198,100,100,99.52,0.143871078,1.04096492,1.015817028,276.2382,3398.74,2453.2,2,2,1,2,2,3,51.41397935,738.6060245,78,100,13.1,2,2,2,1,90,88,2,2,2,0,3362.3,81.9,75.3,45790,30.13,0,100,1.221001221,95.49489464,1.486,8.64,81,8.2,0.82099,71.016605,9.665746
GH,Ghana,34.14915492,0.278280045,129.7359971,5772,5939,93,1933,5134,135,2841.171332,75,75,23,2,1,0.364830354,92.2,49.5,71.21,2.125160752,5.353653422,14.87612527,152.4,3141.28,5036.98,2,0,1,1,1,2,73.75265757,36.66910781,30.5,76.5759,7,2,0,2,1,75,11,0,2,2,1,37.703,27.41,54.042,1480,42.77,8.41,72,1.824151769,49.3461184,1.809,6.86,47,5.273668269,0.41815,7.958675,20.0747
