Country,"Life Expectancy (years)","Wellbeing(0-10)","Inequality of outcomes","Ecological Footprint(gha/capita)","Happy Planet Index"
"Costa Rica","79,076","7,3","0,14556769442369108","2,84","44,7140709773574"
Mexico,"76,411","7,3","0,18769899117079875","2,89","40,69729222257651"
Colombia,"73,673","6,4","0,23504395279537657","1,87","40,69501102038909"
Vanuatu,"71,341","6,47","0,2233318451974657","1,86262","40,57009898803998"
Vietnam,"75,477","5,5","0,185920591137127","1,65","40,30758930687456"
Panama,"77,215","6,9","0,18997897818301895","2,79","39,50257721706073"
Nicaragua,"74,322","5,4","0,24717420664695966","1,39","38,68825826742374"
Bangladesh,"70,843","4,7","0,2736572489916234","0,72","38,3906944120402"
Thailand,"74,087","6,3","0,15000272865094133","2,66","37,2901049946857"
Ecuador,"75,449",6,"0,21887883767862826","2,17","37,042715714114095"
Jamaica,"75,326","5,550000000000001","0,21146532161420667","1,89","36,88843514369528"
Norway,"81,281","7,7","0,06855375489063066","4,98","36,82705238216737"
Albania,"77,347","5,5","0,16513371734395715","2,21","36,766874439109955"
Uruguay,"76,891","6,4","0,17669974980691047","2,91","36,13427976743987"
Spain,"82,192","6,3","0,10149272883462236","3,67","35,95897673862395"
Indonesia,"68,507","5,4","0,20682229939190336","1,58","35,71609257877622"
"El Salvador","72,481","5,9","0,22300252863380746","2,07","35,635177653287265"
Netherlands,"81,212","7,5","0,0432207012090508","5,28","35,315450932768506"
Argentina,"75,927","6,5","0,1642383010777108","3,14","35,190243642294554"
Philippines,"67,949",5,"0,2631155169502518","1,1","34,99109366669882"
Peru,"74,089","5,8","0,21201869489254208","2,28","34,55546153048449"
Palestine,"72,552","4,6","0,2375788590637305","1,18965810274744","34,47194096324895"
Brazil,"73,907","6,9","0,21632152997386372","3,11","34,344975247648655"
Switzerland,"82,6","7,8","0,05986395257971467","5,79","34,330969622041906"
Tajikistan,"69,01","4,5","0,2589634547460774","0,91","34,2495973970354"
Guatemala,"71,355","5,9","0,2748123223815735","1,89","34,23635156813152"
Belize,"69,795","6,142857142857167","0,18012316717867774","2,54818","33,83984315201018"
"Sri Lanka","74,601","4,2","0,16940555155864573","1,32","33,791776078166464"
Venezuela,"73,885","7,1","0,18927995099877382","3,57","33,56995966266243"
Algeria,"74,313","5,6","0,2448617478895881","2,12","33,300542788615374"
Kyrgyzstan,"69,73","5,2","0,1815324739653325","1,91","33,07797038591029"
Denmark,"79,832","7,5","0,07106088414225403","5,51","32,672582087699986"
Morocco,"73,389",5,"0,24599902388745915","1,68","32,65875156196943"
"United Kingdom","80,392","6,9","0,09297391394456911","4,94","31,909286323046118"
Chile,"81,05","6,6","0,14306822168319042","4,36","31,66552155295386"
Pakistan,"65,704","5,1","0,39646025434197574","0,79","31,50010802376814"
Finland,"80,421","7,4","0,06213503666040744","5,87","31,293363951496872"
"New Zealand","81,417","7,2","0,08078593019712431","5,6","31,2583395000787"
Iceland,"82,198","7,6","0,050863557347742866","6,42554080619605","31,0787247382566"
Georgia,"74,555","4,3","0,19678043498831857","1,58","31,076034130434483"
Cyprus,"79,789","6,2","0,12087813100365631","4,21","30,711846428980596"
Nepal,"68,824","4,2","0,2714452229879465","0,98","30,512781538720787"
Austria,"81,004","7,4","0,07129350512862645","6,06","30,47822432661251"
France,"81,767","6,6","0,08524287318595743","5,14","30,413506058643833"
"Dominican Republic","73,097","4,8","0,296085915823961","1,53","30,307213035861228"
Malaysia,"74,428","5,9","0,10184310668022353","3,71","30,291713548418738"
Croatia,"76,961",6,"0,11767176605335","3,92","30,164198527193108"
Ireland,"80,518",7,"0,08493929169455543","5,57","30,016529573152507"
Germany,"80,573","6,7","0,08390288211646281","5,3","29,815503585510626"
India,"67,269","4,6","0,31313715346274057","1,16","29,175464503512924"
Uzbekistan,"68,171",6,"0,2982016707034703","2,32","29,126307234060015"
Serbia,"74,495","5,2","0,19090621440897418","2,7","29,048312577987993"
Malta,"80,223",6,"0,12631623558708185","4,36495628240579","28,96307142500312"
Israel,"81,934","7,1","0,07621635530667135","6,22","28,83147555443557"
Romania,"74,327","5,2","0,1943749328445968","2,71","28,801498535335398"
Bhutan,"68,748","5,6","0,2655913919503828","2,32167","28,623232694458203"
Haiti,"62,077","4,4","0,3698606637216564","0,61","28,567184774346202"
Japan,"83,239",6,"0,09284689200207201","5,02","28,319348084202872"
Slovakia,"75,872","5,9","0,12815477237595277","4,06","28,228896861344644"
Italy,"82,696","5,8","0,11659878820922885","4,61","28,07652469913837"
Sweden,"81,847","7,6","0,05670734622290506","7,25","28,034925186771904"
Poland,"76,926","5,9","0,11145472798638208","4,44","27,471189416618913"
Mauritius,"73,965","5,533333333333317","0,16526192412552088","3,46","27,38404008918045"
"Czech Republic","78,185","6,3","0,09397013489034223","5,19","27,28409908808879"
Honduras,"72,755","4,6","0,31108129079299357","1,68","27,1587707896045"
Ethiopia,"62,816","4,6","0,3592820175826885","1,02","26,658749963172124"
Iraq,"68,96","4,7","0,27011736919577134","1,88","26,521291569690366"
Turkey,"74,72","5,3","0,1863940646767554","3,33","26,42456507822006"
Hungary,"74,859","4,7","0,15154633173027862","2,92","26,383181515417217"
Ukraine,"70,317",5,"0,16726418356261316","2,84","26,38316245478983"
Tunisia,"74,644","4,5","0,22007923628343012","2,34","26,19714113037088"
China,"75,365","5,1","0,17499423783093854","3,38","25,72642015541785"
Armenia,"74,446","4,3","0,21664810329631143","2,23","25,666417288436907"
Cambodia,"67,467","3,9","0,27534974234081994","1,21","25,64937316366306"
Suriname,"70,788","6,3","0,18925773878939384","4,25","25,447157038977338"
"Bosnia and Herzegovina","76,175","4,8","0,1860445575221501","3,12","25,285496892917735"
Zambia,"58,409",5,"0,40812165887395585","0,99","25,22424646411198"
Montenegro,"75,773","5,2","0,15586325413076085","3,78","25,125575355121832"
Portugal,"80,33","4,99","0,16338622556737722","3,88","24,847393728344652"
"South Korea","81,349",6,"0,11059418520693048","5,69","24,790360341261334"
Myanmar,"65,501","4,4","0,32273773955012874","1,43","24,736100400421353"
Slovenia,"79,953","6,1","0,10222757403120601","5,81","24,638840370736368"
Kenya,"60,31","4,5","0,378988057509721","1,03","24,216351638353263"
Iran,"74,784","4,6","0,23090590830397503","2,79","23,992041742901446"
Canada,"81,654","7,4","0,08828664244333384","8,17","23,94183384203565"
Egypt,"70,742","4,2","0,23355257167848686","2,15","23,781020583811703"
Belgium,"80,429","6,9","0,08537280272038357","7,44","23,726523427085876"
Mozambique,"54,321",5,"0,4269865386928798","0,87","23,706340603355304"
Greece,"80,505","5,1","0,15871124133041045","4,38","23,62099962120931"
Macedonia,"75,067","4,6","0,18086399923196203","3,26","23,39190792649336"
Paraguay,"72,638","5,8","0,22390818452618033","4,16","23,326222792340484"
Bolivia,"67,45",6,"0,34980513854444406","2,96","23,32149264012432"
Comoros,"62,598",4,"0,3559641151715294","1,03","23,100988814534567"
Yemen,"63,34","4,1","0,38731270334468704","1,03","22,75426850542089"
Nigeria,"52,112","5,5","0,4423107369736009","1,16","22,246825835430386"
Liberia,"60,229","4,4","0,3836813508394975","1,21","22,182279227978782"
Tanzania,"63,544",4,"0,33287468564511724","1,32","22,138379293936772"
Malawi,"60,122","4,3","0,44538135024194997","0,81","22,130818438294174"
Zimbabwe,"53,673",5,"0,36608460855100433","1,37","22,112535398870584"
Lebanon,"78,797","4,6","0,1890678949030738","3,84","21,897769325380793"
Senegal,"65,429","3,7","0,3281849565038694","1,21","21,896045707219148"
Belarus,"70,874","5,7","0,13190987750517025","5,09","21,718916081617902"
Namibia,"64,014","4,685714285714283","0,26297913368833287","2,48","21,569233730322814"
Ghana,"61,012","5,1","0,3756452030003017","1,97","21,43466357444843"
Australia,"82,052","7,2","0,08067824767105994","9,31","21,228966308259448"
Oman,"76,3","6,9","0,13406474350208492","7,52","21,13942635719868"
Lithuania,"72,804","5,8","0,11270765888646578","5,83","21,03656569885549"
"United States of America","78,807",7,"0,12956425637462532","8,22","20,746377577545243"
Bulgaria,"73,913","4,2","0,19283422250569082","3,32","20,440789274271474"
Afghanistan,"59,668","3,8","0,426557441321005","0,79","20,225349770957084"
Rwanda,"63,056","3,3","0,3720886737197467","0,87","19,62837798317014"
Uganda,"57,14","4,3","0,41386181525074933","1,24","19,419101693196378"
Syria,"70,385","3,2","0,3038245051938609","1,51","19,100370522371957"
Kazakhstan,"68,606","5,8","0,178587883636883","5,55","19,050434636178732"
"Republic of Congo","60,951","3,9","0,40058972300839063","1,29","18,8127124351232"
Russia,"69,519","5,6","0,15916383998781702","5,69","18,71017811503093"
Mauritania,"62,602","4,7","0,36729924409389564","2,54","17,998061394696155"
Estonia,"76,2","5,4","0,12232526551435986","6,86","17,89502178920171"
"Burkina Faso","57,955",4,"0,43249261063247524","1,21","17,886187937472513"
Gabon,"63,335",4,"0,3621621243722718","2,02","17,496847728791643"
Latvia,"73,607","5,1","0,1410633086819662","6,29","17,056728863774623"
